time,num1,num2,result,answer,date,correct,operation
2.6326009999993403,2,2,4,4,Apr-16-2020,1,<ufunc 'multiply'>
1.6561664000000746,6,2,12,12,Apr-16-2020,1,<ufunc 'multiply'>
2.8465078999997786,6,7,42,42,Apr-16-2020,1,<ufunc 'multiply'>
1.9909805999996024,7,3,21,21,Apr-16-2020,1,<ufunc 'multiply'>
2.1444448000002008,2,5,10,10,Apr-16-2020,1,<ufunc 'multiply'>
2.1431678999997534,6,6,36,36,Apr-16-2020,1,<ufunc 'multiply'>
2.2877655000011146,6,7,42,42,Apr-16-2020,1,<ufunc 'multiply'>
1.6260376999998698,4,3,12,12,Apr-16-2020,1,<ufunc 'multiply'>
1.301827700001013,3,5,15,15,Apr-16-2020,1,<ufunc 'multiply'>
1.5759575000010957,4,2,8,8,Apr-16-2020,1,<ufunc 'multiply'>
1.2071974000009504,6,6,36,12,Apr-16-2020,0,<ufunc 'multiply'>
1.8324692999995025,6,6,36,36,Apr-16-2020,1,<ufunc 'multiply'>
2.3990798999984695,4,6,24,24,Apr-16-2020,1,<ufunc 'multiply'>
1.416809099999227,3,4,12,12,Apr-16-2020,1,<ufunc 'multiply'>
1.2799006000004738,5,3,15,15,Apr-16-2020,1,<ufunc 'multiply'>
1.0472797000002174,2,2,4,4,Apr-16-2020,1,<ufunc 'multiply'>
1.7351156000004266,2,7,14,14,Apr-16-2020,1,<ufunc 'multiply'>
2.0637905999992654,4,6,24,24,Apr-16-2020,1,<ufunc 'multiply'>
1.097225999999864,2,3,6,6,Apr-16-2020,1,<ufunc 'multiply'>
1.9983871000003999,7,3,21,21,Apr-16-2020,1,<ufunc 'multiply'>
2.2801404999991064,3,6,18,18,Apr-16-2020,1,<ufunc 'multiply'>
3.183418299999176,4,6,24,24,Apr-16-2020,1,<ufunc 'multiply'>
2.287770200000523,7,7,49,49,Apr-16-2020,1,<ufunc 'multiply'>
1.6398565999988932,4,6,24,24,Apr-16-2020,1,<ufunc 'multiply'>
1.2003922999992938,3,4,12,12,Apr-16-2020,1,<ufunc 'multiply'>
1.2711078000011184,2,7,14,14,Apr-16-2020,1,<ufunc 'multiply'>
1.2719417999996951,7,3,21,21,Apr-16-2020,1,<ufunc 'multiply'>
10.911750199999004,6,5,30,30,Apr-16-2020,1,<ufunc 'multiply'>
1.2082977000009123,2,3,6,6,Apr-16-2020,1,<ufunc 'multiply'>
1.831401999999798,6,4,24,24,Apr-16-2020,1,<ufunc 'multiply'>
2.0246970000007423,6,5,30,30,Apr-16-2020,1,<ufunc 'multiply'>
1.4156285999997635,4,3,12,12,Apr-16-2020,1,<ufunc 'multiply'>
1.9994518000003156,6,3,18,18,Apr-16-2020,1,<ufunc 'multiply'>
1.2633945999987188,3,3,9,9,Apr-16-2020,1,<ufunc 'multiply'>
2.1037333999993284,5,5,25,25,Apr-16-2020,1,<ufunc 'multiply'>
1.399559200001022,3,2,6,6,Apr-16-2020,1,<ufunc 'multiply'>
2.3043548999994528,3,7,21,21,Apr-16-2020,1,<ufunc 'multiply'>
2.511074199999712,3,2,6,6,Apr-16-2020,1,<ufunc 'multiply'>
1.0559477999995581,2,2,4,4,Apr-16-2020,1,<ufunc 'multiply'>
1.30425600000126,3,7,21,21,Apr-16-2020,1,<ufunc 'multiply'>
1.136009699999704,5,3,15,15,Apr-16-2020,1,<ufunc 'multiply'>
2.167620199999874,6,4,24,24,Apr-16-2020,1,<ufunc 'multiply'>
1.5592458000010083,6,2,12,12,Apr-16-2020,1,<ufunc 'multiply'>
1.83976470000016,5,3,15,15,Apr-16-2020,1,<ufunc 'multiply'>
2.4155192000016545,6,7,42,42,Apr-16-2020,1,<ufunc 'multiply'>
2.2311182000012195,7,6,42,42,Apr-16-2020,1,<ufunc 'multiply'>
2.7998500999983658,2,7,14,14,Apr-16-2020,1,<ufunc 'multiply'>
1.9041314000005516,2,4,8,8,Apr-16-2020,1,<ufunc 'multiply'>
1.7612637000001996,2,5,10,10,Apr-16-2020,1,<ufunc 'multiply'>
